id,audience,category,published_path,primary_symbols,primary_strategy,window,research_refs,decision_refs,recommended_use,key_takeaway,headline_metrics
BT-001,"report;ai","macd_trend_alignment","shared_backtests/nvda_trend_alignment_sweep_summary.json","NVDA","macd_pullback","2021-03-31 to 2026-03-31","R-002","Promote require_recent_trend_alignment=false","Primary evidence for the NVDA version of the trend-alignment finding.","Turning off recent trend alignment improved NVDA and increased activity.","return 0.6120% -> 0.9511%; profit factor 1.1162 -> 1.1224; trades 669 -> 933"
BT-002,"report;ai","macd_trend_alignment","shared_backtests/msft_trend_alignment_sweep_summary.json","MSFT","macd_pullback","2021-03-31 to 2026-03-31","R-002","Promote require_recent_trend_alignment=false","Cross-symbol confirmation that the same conceptual change helped on MSFT.","Turning off recent trend alignment improved MSFT and raised trade count.","return 0.1546% -> 0.2560%; profit factor 1.1679 -> 1.2068; trades 154 -> 211"
BT-003,"report;ai","macd_trend_alignment","shared_backtests/amd_trend_alignment_sweep_summary.json","AMD","macd_pullback","2023-03-31 to 2026-03-31","R-002","Promote require_recent_trend_alignment=false","Important negative-but-improving case for AMD.","The change still helped on AMD, but AMD remained weaker overall.","return -0.9607% -> -0.5743%; profit factor 0.7248 -> 0.8705; trades 381 -> 503"
BT-004,"report;ai","xgboost_pooled_filter","shared_backtests/pooled_macd_pullback_xgb_report.json","AAPL;AMD;AMZN;META;SPY;QQQ;IWM;ARKK;MSFT;NVDA","macd_pullback_xgboost_filter","train 2023-01-03 to 2024-12-31; validation 2025-01-01 to 2025-09-30; test 2025-10-01 to 2026-04-21","R-003","Pooled XGBoost Filter Workflow and April 22 Paper-Trading Go/No-Go","Best single file for the pooled XGBoost story.","The pooled model was useful research, but not strong enough to replace the baseline.","test profit factor baseline 1.1601 vs filtered 1.0828; avg total return 0.0377% vs 0.0120%; avg max drawdown -0.0909% vs -0.0762%"
BT-005,"report;ai","xgboost_pooled_filter","shared_backtests/pooled_macd_pullback_xgb_test_comparison.csv","AAPL;AMD;AMZN;META;SPY;QQQ;IWM;ARKK;MSFT;NVDA","macd_pullback_xgboost_filter","test 2025-10-01 to 2026-04-21","R-003","Pooled XGBoost Filter Workflow and April 22 Paper-Trading Go/No-Go","Best per-symbol comparison table for the pooled filter.","Shows that the pooled filter helped some symbols but hurt others.","helped AAPL AMZN META MSFT QQQ; hurt AMD ARKK IWM NVDA SPY"
BT-006,"report;ai","vwap_strategy_comparison","shared_backtests/2026-04-21_01-41-23_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21","NVDA","vwap_rsi_mean_reversion","2025-04-21 to 2026-04-21","R-004","VWAP + RSI Mean Reversion Strategy Addition","Baseline NVDA VWAP/RSI comparison run.","On NVDA, VWAP/RSI looked like a real alternative strategy and outperformed MACD in the first pass.","return 0.2229%; profit factor 1.4969; trades 127; win rate 51.1811%"
BT-007,"report;dashboard;ai","vwap_strategy_comparison","shared_backtests/2026-04-21_01-41-30_NVDA_macd_pullback_2025-04-21_to_2026-04-21","NVDA","macd_pullback","2025-04-21 to 2026-04-21","R-004","VWAP + RSI Mean Reversion Strategy Addition","Matching NVDA MACD comparison run and current dashboard baseline candidate.","On the same NVDA window, MACD was positive but weaker than VWAP/RSI.","return 0.0637%; profit factor 1.1119; trades 90; win rate 47.7778%"
BT-008,"report;ai","vwap_strategy_comparison","shared_backtests/2026-04-21_01-41-10_MSFT_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21","MSFT","vwap_rsi_mean_reversion","2025-04-21 to 2026-04-21","R-004","VWAP + RSI Mean Reversion Strategy Addition","Baseline MSFT VWAP/RSI comparison run.","On MSFT, VWAP/RSI underperformed and stayed in research mode.","return -0.0622%; profit factor 0.7469; trades 77; win rate 41.5584%"
BT-009,"report;ai","vwap_strategy_comparison","shared_backtests/2026-04-21_01-41-16_MSFT_macd_pullback_2025-04-21_to_2026-04-21","MSFT","macd_pullback","2025-04-21 to 2026-04-21","R-004","VWAP + RSI Mean Reversion Strategy Addition","Matching MSFT MACD comparison run.","On the same MSFT window, MACD was modestly positive and clearly stronger than VWAP/RSI.","return 0.0284%; profit factor 1.3013; trades 22; win rate 50.0000%"
BT-010,"report;ai","vwap_parameter_tuning","shared_backtests/nvda_vwap_max_bars_sweep_summary.json","NVDA","vwap_rsi_mean_reversion","2025-04-21 to 2026-04-21","R-005","VWAP + RSI Mean Reversion Strategy Addition","Best first-pass tuning artifact for a clear iterative-design story.","Extending the time stop to 15 bars was the cleanest first-pass NVDA improvement.","best run max_bars_in_trade=15 with return 0.2751%; profit factor 1.5873; trades 127"
BT-011,"dashboard;report;ai","vwap_parameter_tuning","shared_backtests/2026-04-21_01-45-07_NVDA_vwap_rsi_mean_reversion_2025-04-21_to_2026-04-21_max_bars_in_trade_15","NVDA","vwap_rsi_mean_reversion","2025-04-21 to 2026-04-21","R-005;R-006","Move live paper-trading config to separate MACD and VWAP accounts","Current blessed VWAP/RSI dashboard dataset.","This is the cleanest published current run to treat as the tuned VWAP/RSI reference.","return 0.2751%; profit factor 1.5873; trades 127; min_distance_from_vwap_frac 0.003; max_bars_in_trade 15"
BT-012,"report;ai","alb_reference_run","shared_backtests/2026-04-02_00-40-22_ALB_macd_pullback_2025-03-31_2026-03-31","ALB","macd_pullback","2025-03-31 to 2026-03-31","","","Published ALB one-year reference run for the final report.","Reference ALB run with overview chart, summary, and trades for Figure 1 and the ALB result tables.","return 0.0915%; profit factor 1.2990; trades 166; max drawdown -0.0668%"
